2025-02-13 16:10:42,399 - INFO - 日志文件已创建: logs/pvt_fcn_output_224_512_20250213_161042.log
2025-02-13 16:11:17,558 - INFO - acc: 0.8460361246204771, acc_cls: 0.2623779833007915, iu: [0.84954973 0.01727477 0.0042334  0.01049981], mean_iu: 0.22038942917163643, fwavacc:0.8152956114810181
2025-02-13 16:11:50,569 - INFO - acc: 0.9429014011782819, acc_cls: 0.2535046314553476, iu: [9.43806266e-01 1.34833678e-02 4.24036894e-04 4.30395815e-04], mean_iu: 0.23953601668469154, fwavacc:0.9054668551887007
2025-02-13 16:12:24,851 - INFO - acc: 0.9522604970381557, acc_cls: 0.2491460277501514, iu: [9.52393765e-01 2.38616102e-03 1.93043231e-04 6.48325237e-05], mean_iu: 0.23875945037726964, fwavacc:0.9135455055152066
2025-02-13 16:12:59,266 - INFO - acc: 0.9584898274637692, acc_cls: 0.2498530162395495, iu: [9.58492775e-01 1.17237455e-04 2.14572245e-06 0.00000000e+00], mean_iu: 0.23965303949238703, fwavacc:0.919361236261994
2025-02-13 16:13:33,485 - INFO - acc: 0.9582592739813525, acc_cls: 0.24990923965000925, iu: [9.58273832e-01 3.30920952e-04 1.03069013e-04 1.44711099e-04], mean_iu: 0.23971313314129616, fwavacc:0.9191574499963121
2025-02-13 16:14:07,482 - INFO - acc: 0.9589118541995978, acc_cls: 0.24994189715941978, iu: [9.58912550e-01 3.76740903e-05 0.00000000e+00 1.17072851e-06], mean_iu: 0.23973784879174115, fwavacc:0.9197627813022253
2025-02-13 16:14:41,716 - INFO - acc: 0.9589683271937993, acc_cls: 0.24994797691437876, iu: [9.58968442e-01 4.45059121e-06 0.00000000e+00 0.00000000e+00], mean_iu: 0.23974322313216825, fwavacc:0.9198159260663893
2025-02-13 16:15:17,930 - INFO - acc: 0.9590322127461031, acc_cls: 0.24996462813524545, iu: [9.59032313e-01 4.47174194e-06 0.00000000e+00 0.00000000e+00], mean_iu: 0.239759196146485, fwavacc:0.9198771895502619
2025-02-13 16:15:51,495 - INFO - acc: 0.9590601206452674, acc_cls: 0.24997078865966132, iu: [0.95906012 0.         0.         0.        ], mean_iu: 0.23976503016131684, fwavacc:0.919903801504213
2025-02-13 16:16:25,666 - INFO - acc: 0.9590592036277701, acc_cls: 0.2499705496469216, iu: [0.9590592 0.        0.        0.       ], mean_iu: 0.23976480090694252, fwavacc:0.9199029219265269
2025-02-13 16:17:03,775 - INFO - acc: 0.9590564678589035, acc_cls: 0.24996983659224814, iu: [0.95905647 0.         0.         0.        ], mean_iu: 0.23976411696472588, fwavacc:0.9199002978530969
2025-02-13 16:17:40,570 - INFO - acc: 0.9590657144520002, acc_cls: 0.24997336006733634, iu: [9.59065859e-01 4.48237530e-06 0.00000000e+00 0.00000000e+00], mean_iu: 0.23976758522621028, fwavacc:0.9199093657830155
2025-02-13 16:18:14,180 - INFO - acc: 0.9590638345661309, acc_cls: 0.24997396948180753, iu: [9.59064167e-01 7.84319877e-06 1.07313178e-06 0.00000000e+00], mean_iu: 0.23976827075624357, fwavacc:0.919907803786212
2025-02-13 16:18:45,084 - INFO - acc: 0.9590855984480641, acc_cls: 0.2499774292302797, iu: [0.9590856 0.        0.        0.       ], mean_iu: 0.23977139961201602, fwavacc:0.9199282391042573
2025-02-13 16:19:19,790 - INFO - acc: 0.9590931485587908, acc_cls: 0.24997939710183667, iu: [0.95909315 0.         0.         0.        ], mean_iu: 0.2397732871396977, fwavacc:0.919935480960539
2025-02-13 16:19:52,570 - INFO - acc: 0.9590896027578018, acc_cls: 0.24997847291924313, iu: [0.9590896 0.        0.        0.       ], mean_iu: 0.23977240068945044, fwavacc:0.9199320799268197
2025-02-13 16:20:28,770 - INFO - acc: 0.9590904892080491, acc_cls: 0.24997870396489152, iu: [0.95909049 0.         0.         0.        ], mean_iu: 0.23977262230201227, fwavacc:0.9199329301852496
2025-02-13 16:21:06,369 - INFO - acc: 0.959089541623302, acc_cls: 0.24997845698506047, iu: [0.95908954 0.         0.         0.        ], mean_iu: 0.2397723854058255, fwavacc:0.9199320212883073
2025-02-13 16:21:42,391 - INFO - acc: 0.9590946769212861, acc_cls: 0.24997979545640286, iu: [0.95909468 0.         0.         0.        ], mean_iu: 0.23977366923032153, fwavacc:0.9199369469233492
2025-02-13 16:22:16,152 - INFO - acc: 0.9590916201962956, acc_cls: 0.2499789987472705, iu: [0.95909162 0.         0.         0.        ], mean_iu: 0.2397729050490739, fwavacc:0.919934014997729
2025-02-13 16:22:52,703 - INFO - acc: 0.9590925983482925, acc_cls: 0.24997925369419285, iu: [0.9590926 0.        0.        0.       ], mean_iu: 0.23977314958707313, fwavacc:0.9199349532139274
2025-02-13 16:23:26,697 - INFO - acc: 0.9590918647342948, acc_cls: 0.2499790624840011, iu: [0.95909186 0.         0.         0.        ], mean_iu: 0.2397729661835737, fwavacc:0.9199342495517785
2025-02-13 16:24:00,774 - INFO - acc: 0.9590987117982738, acc_cls: 0.2499808471124576, iu: [0.95909871 0.         0.         0.        ], mean_iu: 0.23977467794956844, fwavacc:0.9199408170651678
2025-02-13 16:24:34,779 - INFO - acc: 0.9591150194260987, acc_cls: 0.24998509755567885, iu: [0.95911502 0.         0.         0.        ], mean_iu: 0.23977875485652467, fwavacc:0.9199564588883514
2025-02-13 16:25:09,085 - INFO - acc: 0.9590137501271597, acc_cls: 0.24996454808942759, iu: [9.59015041e-01 2.34421570e-05 0.00000000e+00 0.00000000e+00], mean_iu: 0.23975962090573885, fwavacc:0.9198608800502536
2025-02-13 16:25:43,542 - INFO - acc: 0.9591320606679213, acc_cls: 0.24998953920909187, iu: [0.95913206 0.         0.         0.        ], mean_iu: 0.23978301516698033, fwavacc:0.919972804373684
2025-02-13 16:26:21,906 - INFO - acc: 0.9591386326266511, acc_cls: 0.24999125213372647, iu: [0.95913863 0.         0.         0.        ], mean_iu: 0.23978465815666278, fwavacc:0.9199791080137674
2025-02-13 16:26:57,497 - INFO - acc: 0.9591390758517747, acc_cls: 0.24999136765655067, iu: [0.95913908 0.         0.         0.        ], mean_iu: 0.23978476896294368, fwavacc:0.9199795331429822
2025-02-13 16:27:30,222 - INFO - acc: 0.9591395496441483, acc_cls: 0.24999149114646618, iu: [0.95913955 0.         0.         0.        ], mean_iu: 0.23978488741103707, fwavacc:0.9199799875914534
2025-02-13 16:28:05,166 - INFO - acc: 0.9591394120915238, acc_cls: 0.24999145529455524, iu: [0.95913941 0.         0.         0.        ], mean_iu: 0.23978485302288094, fwavacc:0.9199798556548006
2025-02-13 16:28:39,925 - INFO - acc: 0.9591400540037718, acc_cls: 0.24999162260347305, iu: [0.95914005 0.         0.         0.        ], mean_iu: 0.23978501350094295, fwavacc:0.9199804713591808
2025-02-13 16:29:13,940 - INFO - acc: 0.9591394273751487, acc_cls: 0.2499914592781009, iu: [0.95913943 0.         0.         0.        ], mean_iu: 0.23978485684378717, fwavacc:0.9199798703144286
2025-02-13 16:29:48,922 - INFO - acc: 0.9591392745388991, acc_cls: 0.24999141944264427, iu: [0.95913927 0.         0.         0.        ], mean_iu: 0.23978481863472478, fwavacc:0.9199797237181476
2025-02-13 16:30:22,342 - INFO - acc: 0.9591392439716493, acc_cls: 0.24999141147555295, iu: [0.95913924 0.         0.         0.        ], mean_iu: 0.23978481099291232, fwavacc:0.9199796943988915
2025-02-13 16:30:56,068 - INFO - acc: 0.9591382046851524, acc_cls: 0.24999114059444794, iu: [0.9591382 0.        0.        0.       ], mean_iu: 0.2397845511712881, fwavacc:0.9199786975441805
2025-02-13 16:31:30,727 - INFO - acc: 0.9591389688664, acc_cls: 0.24999133977173105, iu: [0.95913897 0.         0.         0.        ], mean_iu: 0.2397847422166, fwavacc:0.9199794305255855
2025-02-13 16:32:05,279 - INFO - acc: 0.9591389077319002, acc_cls: 0.2499913238375484, iu: [0.95913891 0.         0.         0.        ], mean_iu: 0.23978472693297506, fwavacc:0.9199793718870731
2025-02-13 16:32:38,740 - INFO - acc: 0.9591384797904016, acc_cls: 0.24999121229826987, iu: [0.95913848 0.         0.         0.        ], mean_iu: 0.2397846199476004, fwavacc:0.9199789614174864
2025-02-13 16:33:10,654 - INFO - acc: 0.9591395802113982, acc_cls: 0.24999149911355753, iu: [0.95913958 0.         0.         0.        ], mean_iu: 0.23978489505284956, fwavacc:0.9199800169107096
