2025-01-18 15:05:13,696 - INFO - 日志文件已创建: logs/pvt_fcn_output_224_512_20250118_150513.log
2025-01-18 15:05:44,274 - INFO - acc: 0.895887686998208, acc_cls: 0.37437312822209606, iu: [0.91164885 0.07207055 0.07090371 0.01400264], mean_iu: 0.2671564375304012, fwavacc:0.8765960897948375
2025-01-18 15:06:12,113 - INFO - acc: 0.9488839163445286, acc_cls: 0.28754860527457915, iu: [0.95737013 0.06274372 0.00380519 0.00221159], mean_iu: 0.2565326585247518, fwavacc:0.91921498095069
2025-01-18 15:06:39,862 - INFO - acc: 0.9545293358788108, acc_cls: 0.24878987849882983, iu: [0.95452939 0.         0.         0.        ], mean_iu: 0.23863234855837198, fwavacc:0.915558054704766
2025-01-18 15:07:08,843 - INFO - acc: 0.9569479389603809, acc_cls: 0.2495316787443172, iu: [9.56963363e-01 5.47445074e-05 2.75315930e-04 1.07881497e-04], mean_iu: 0.23935032619328384, fwavacc:0.9178987196272129
2025-01-18 15:07:37,189 - INFO - acc: 0.9585279295407771, acc_cls: 0.24986480846262032, iu: [9.58531106e-01 1.19980454e-05 6.60543499e-05 5.35880084e-05], mean_iu: 0.23966568669629307, fwavacc:0.9193981883115002
2025-01-18 15:08:05,171 - INFO - acc: 0.9590559634992801, acc_cls: 0.2499699938567824, iu: [9.59056007e-01 0.00000000e+00 0.00000000e+00 1.17041335e-06], mean_iu: 0.23976429431510482, fwavacc:0.9198998709416711
2025-01-18 15:08:32,890 - INFO - acc: 0.9590963275527811, acc_cls: 0.24998022567933437, iu: [0.95909633 0.         0.         0.        ], mean_iu: 0.23977408188819527, fwavacc:0.919938530163184
2025-01-18 15:09:02,097 - INFO - acc: 0.9590708803172343, acc_cls: 0.2499786035106397, iu: [9.59071118e-01 2.01858670e-05 0.00000000e+00 0.00000000e+00], mean_iu: 0.23977282602796926, fwavacc:0.9199146232702621
2025-01-18 15:09:28,548 - INFO - acc: 0.9590658978554996, acc_cls: 0.24997229443992153, iu: [0.9590659 0.        0.        0.       ], mean_iu: 0.2397664744638749, fwavacc:0.9199093428436351
2025-01-18 15:09:54,982 - INFO - acc: 0.9591043667395064, acc_cls: 0.24998232102435253, iu: [0.95910437 0.         0.         0.        ], mean_iu: 0.2397760916848766, fwavacc:0.9199462411275652
2025-01-18 15:10:22,064 - INFO - acc: 0.9591308226943002, acc_cls: 0.24999053813247102, iu: [9.59130908e-01 0.00000000e+00 5.36501410e-06 0.00000000e+00], mean_iu: 0.23978406813481062, fwavacc:0.9199717747148051
2025-01-18 15:10:49,668 - INFO - acc: 0.9591590209823385, acc_cls: 0.24999656618363944, iu: [0.95915902 0.         0.         0.        ], mean_iu: 0.23978975524558463, fwavacc:0.9199986639576541
2025-01-18 15:11:16,842 - INFO - acc: 0.9591398858838973, acc_cls: 0.249993777565646, iu: [9.59140027e-01 6.76039580e-06 2.14633958e-06 0.00000000e+00], mean_iu: 0.23978723355368284, fwavacc:0.9199805679719739
